,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
2739,2777,Text,2001-08-01,Cabbages and Kings,en,"Henry, O., 1862-1910",Short stories; New York (N.Y.) -- Social life and customs -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/7/2777/2777-0.txt
2740,2778,Text,2006-03-31,Jewel: A Chapter in Her Life,en,"Burnham, Clara Louise, 1854-1927",Christian fiction; Christian Science -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/7/2778/2778.txt
2746,2784,Text,2006-03-27,Colonel Starbottle's Client,en,"Harte, Bret, 1836-1902",Western stories,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/8/2784/2784.txt
2748,2786,Text,2001-08-01,Jack and Jill,en,"Alcott, Louisa May, 1832-1888",Friendship -- Juvenile fiction; Winter -- Juvenile fiction; Family life -- Juvenile fiction; New England -- Social life and customs -- Juvenile fiction; Children's accidents -- Juvenile fiction,PZ; PS,Children's Literature,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/8/2786/2786.txt
2749,2787,Text,2001-08-01,An Old-Fashioned Girl,en,"Alcott, Louisa May, 1832-1888",City and town life -- Fiction; New England -- Fiction; Friendship -- Juvenile fiction; Boston (Mass.) -- History -- 19th century -- Fiction,PZ; PS,Children's Literature,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/8/2787/2787.txt
2750,2788,Text,2001-08-01,Little Men: Life at Plumfield With Jo's Boys,en,"Alcott, Louisa May, 1832-1888",Boarding schools -- Fiction; Schools -- Fiction; Family life -- New England -- Fiction; New England -- History -- 19th century -- Fiction,PZ; PS,Children's Literature; School Stories,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/8/2788/2788-0.txt
2751,2789,Text,2001-08-01,The Motor Girls on a Tour,en,"Penrose, Margaret",Detective and mystery stories; Girls -- Societies and clubs -- Juvenile fiction; Automobiles -- Juvenile fiction,PZ; PS,Children's Book Series,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/8/2789/2789.txt
2755,2793,Text,2006-03-27,Flip: A California Romance,en,"Harte, Bret, 1836-1902",Western stories; American fiction -- 19th century; California -- Social life and customs -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/9/2793/2793.txt
2756,2794,Text,2006-03-27,Found at Blazing Star,en,"Harte, Bret, 1836-1902",Western stories; American fiction -- 19th century; California -- Social life and customs -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/9/2794/2794.txt
2760,2798,Text,2006-03-27,The Queen of the Pirate Isle,en,"Harte, Bret, 1836-1902",American fiction -- 19th century; Pirates -- Juvenile fiction; Fantasy games -- Juvenile fiction; Gold mines and mining -- California -- Juvenile fiction; Stanislaus River (Calif.) -- Juvenile fiction,PZ; PS,,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/9/2798/2798.txt
